Country;Baked goods;Baking;Beverages;Canned;Cereal;Dairy;Frozen;Meat;Nonfoods;Produce;Snack
Antarctica;1.58;1.65;1.89;4.96;5.07;39.30;16.17;7.98;2.67;27.25;16.04
Argentina;8.30;7.71;13.23;18.76;5.07;65.03;37.07;27.93;27.41;44.30;32.78
Bosnia and Herzegovina;2.17;6.48;11.34;8.17;3.38;32.62;11.88;15.96;13.74;14.88;20.81
Bulgaria;3.16;9.68;0.00;6.77;1.69;18.08;11.99;7.98;12.53;28.31;17.24
Canada;0.59;5.70;3.78;5.89;8.45;29.45;25.59;11.97;11.64;29.49;14.37
China;15.61;22.03;17.01;35.43;13.52;135.96;68.54;27.93;52.22;73.18;72.14
Colombia;8.30;1.65;7.56;9.66;3.38;29.04;23.85;7.98;15.20;20.65;10.59
Cuba;2.57;7.42;1.89;13.69;5.07;18.98;16.45;7.98;8.65;22.25;12.99
Denmark;12.24;9.59;1.89;13.16;13.52;57.91;26.56;23.94;20.86;30.38;21.19
Dominican Republic;6.93;8.00;3.78;11.23;3.38;35.31;23.11;0.00;10.43;27.05;10.79
Finland;0.00;4.05;9.45;10.48;1.69;36.21;11.20;23.94;5.34;14.19;19.82
France;13.63;11.85;13.23;37.50;16.90;74.19;35.09;19.95;37.84;54.06;52.99
Germany;13.23;6.80;9.45;18.18;1.69;73.50;24.27;15.96;16.09;36.00;29.93
Greece;4.34;5.83;1.89;8.98;5.07;22.47;16.75;7.98;18.19;14.81;20.70
Israel;1.58;7.90;3.78;11.91;8.45;18.20;14.76;3.99;10.11;20.08;19.60
Italy;1.58;5.02;1.89;12.33;3.38;31.62;15.55;3.99;25.06;19.65;18.15
Jamaica;4.15;5.83;0.00;13.69;5.07;19.28;12.19;15.96;13.42;19.07;3.96
Japan;9.29;15.67;5.67;22.56;13.52;57.09;27.48;19.95;26.84;48.12;30.72
Malta;4.15;5.44;3.78;6.31;5.07;27.45;8.83;0.00;9.54;27.62;12.29
Mexico;2.17;8.39;9.45;13.29;1.69;23.46;8.39;11.97;11.32;10.09;14.67
Netherlands;5.33;6.41;5.67;10.41;3.38;20.48;14.98;0.00;11.00;20.87;20.81
New Zealand;10.87;12.22;7.56;18.57;11.83;60.28;31.03;15.96;28.94;42.54;39.86
Nigeria;2.36;5.64;9.45;15.22;0.00;19.21;14.69;3.99;14.31;13.99;10.70
Norway;3.56;2.04;0.00;13.16;3.38;22.17;8.60;7.98;19.08;22.32;19.42
Poland;7.50;3.56;1.89;16.54;1.69;28.55;20.83;3.99;16.09;23.82;8.61
Russia;2.57;8.49;3.78;9.63;1.69;35.50;15.67;23.94;7.44;24.89;12.49
Spain;4.34;2.72;3.78;11.44;1.69;39.70;9.51;11.97;14.31;18.37;9.00
Switzerland;3.35;4.79;3.78;6.78;3.38;38.38;9.21;19.95;15.52;7.62;15.27
Thailand;2.57;9.10;3.78;7.70;1.69;41.58;11.89;3.99;10.43;21.00;12.49
Trinidad and Tobago;8.09;13.31;13.23;17.72;6.76;106.82;54.52;19.95;38.48;59.28;44.60
Tunisia;4.74;8.52;9.45;19.11;3.38;52.32;19.33;19.95;21.18;29.31;24.48
United Kingdom;10.28;15.26;9.45;22.67;8.45;42.57;28.36;11.97;13.42;42.57;32.92
United States;202.30;303.88;251.37;510.31;202.80;1578.92;886.35;542.64;588.81;994.43;814.27
Zimbabwe;4.15;5.73;0.00;11.94;3.38;23.07;12.76;7.98;12.21;15.34;13.87
