Item;Category;Price;City;Region;Country
L'Oven Fresh white bread;Baked goods; 0.59;San Francisco;California;United States
Texas cheese toast;Frozen; 1.49;Paris;Ile-De-France;France
Broccoli stir fry mixture;Frozen; 0.89;Bluff City;Kansas;United States
Sausage, brown/serve;Frozen; 0.99;Plymouth;Tobago;Trinidad and Tobago
Peppers, tricolor pack;Produce; 1.99;Glendale;Arizona;United States
Cinnamon Grahams;Snack; 0.99;London;Ontario;Canada
Mushrooms;Produce; 0.99;Blountsville;Alabama;United States
Tissues;Nonfoods; 0.89;Aalestrup;Nordjylland;Denmark
Spoon size shredded wheat;Cereal; 1.69;Cairo;Illinois;United States
Cheese, Colby brick;Dairy; 1.49;Crooks;South Dakota;United States
Wheat crackers (triscuit);Snack; 0.99;Stirling;Scotland;United Kingdom
Eggs, large;Dairy; 0.89;Blountsville;Alabama;United States
Broccoli stir fry mixture;Frozen; 0.89;Helsinki;Etela-Suomen Laani;Finland
Tissues;Nonfoods; 0.89;Bluff City;Kansas;United States
Baking soda;Baking; 0.39;West Long Branch;New Jersey;United States
Saltines;Snack; 0.69;Amsterdam;Ohio;United States
Lettuce, iceberg;Produce; 0.89;North Grafton;Massachusetts;United States
Belmont chocolate chip cookies;Snack; 1.49;Victoria Falls;Matabeleland North;Zimbabwe
Orange juice, not from concentrate;Dairy; 1.99;Crooks;South Dakota;United States
Milk, 2%;Dairy; 2.69;Hechi;Guangxi;China
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Amsterdam;Ohio;United States
Single serve fruit/gel bowls;Canned; 1.39;Cushing;Texas;United States
Broccoli stir fry mixture;Frozen; 0.89;Hamburg;Illinois;United States
Celery;Produce; 0.99;Amsterdam;Ohio;United States
Butter;Dairy; 1.99;Prudence Island;Rhode Island;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Jerusalem;Yerushalayim  (Jerusalem);Israel
Orange juice, not from concentrate;Dairy; 1.99;Jerusalem;Yerushalayim  (Jerusalem);Israel
Cucumber (large);Produce; 0.49;Roma;Texas;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Bangkok;Krung Thep Mahanakhon;Thailand
Sausage, brown/serve;Frozen; 0.99;Prudence Island;Rhode Island;United States
Snack crackers (ritz);Snack; 1.29;Franklin Springs;New York;United States
Sausage, brown/serve;Frozen; 0.99;Hawkinsville;Georgia;United States
Saltines;Snack; 0.69;Paris;Ile-De-France;France
Beef/bean burrito;Frozen; 0.29;Scarborough;Tobago;Trinidad and Tobago
Eggs, large;Dairy; 0.89;Holguin;Holguin;Cuba
Larado paper plates;Nonfoods; 0.89;Jerusalem;Yerushalayim  (Jerusalem);Israel
Baking soda;Baking; 0.39;Tornillo;Texas;United States
Larado paper plates;Nonfoods; 0.89;Plymouth;Tobago;Trinidad and Tobago
Spoon size shredded wheat;Cereal; 1.69;San Francisco;California;United States
Tissues;Nonfoods; 0.89;Finlayson;Minnesota;United States
Celery;Produce; 0.99;Montpellier;Languedoc-Roussillon;France
Single serve peach cups;Canned; 1.39;Jose Leon Suarez;Buenos Aires;Argentina
Sausage, brown/serve;Frozen; 0.99;Bluff City;Kansas;United States
